作物ID,作物名称,元素,稀有度,种子名称,种子成本,种子售价,最小产量,最大产量,售价/单位,交易单位,最低收益,最高收益,期望收益,最低利润,最高利润,期望利润,投资回报率
spirit_root_gold,灵根·金,金,common,灵根·金种子,10,3,70,80,100,100,8.5,323,176.05,-1.5,313,166.05,1660.5%
spirit_root_wood,灵根·木,木,common,灵根·木种子,10,3,70,80,100,100,8.5,323,176.05,-1.5,313,166.05,1660.5%
spirit_root_water,灵根·水,水,common,灵根·水种子,10,3,70,80,100,100,8.5,323,176.05,-1.5,313,166.05,1660.5%
spirit_root_fire,灵根·火,火,common,灵根·火种子,10,3,70,80,100,100,8.5,323,176.05,-1.5,313,166.05,1660.5%
spirit_root_earth,灵根·土,土,common,灵根·土种子,10,3,70,80,100,100,8.5,323,176.05,-1.5,313,166.05,1660.5%
rice_basic,灵稻,—,common,灵稻种子,5,2,80,120,100,100,10,482,233.86,5,477,228.86,4577.2%
jin_ling_rice,金灵稻,金,uncommon,金灵稻种子,0,8,80,110,125,100,12.5,558,280.16,12.5,558,280.16,N/A（杂交）
mu_ling_rice,木灵稻,木,uncommon,木灵稻种子,0,8,80,110,125,100,12.5,558,280.16,12.5,558,280.16,N/A（杂交）
shui_ling_rice,水灵稻,水,uncommon,水灵稻种子,0,8,80,110,125,100,12.5,558,280.16,12.5,558,280.16,N/A（杂交）
huo_ling_rice,火灵稻,火,uncommon,火灵稻种子,0,8,80,110,125,100,12.5,558,280.16,12.5,558,280.16,N/A（杂交）
tu_ling_rice,土灵稻,土,uncommon,土灵稻种子,0,8,80,110,125,100,12.5,558,280.16,12.5,558,280.16,N/A（杂交）
bi_jing_rice,碧粳稻,水·木,rare,碧粳稻种子,0,20,80,110,1800,100,180,7940,3992.8,180,7940,3992.8,N/A（杂交）
yan_huo_rice,炎火稻,木·火,rare,炎火稻种子,0,20,80,110,1800,100,180,7940,3992.8,180,7940,3992.8,N/A（杂交）
yan_tu_rice,炎土稻,火·土,rare,炎土稻种子,0,20,80,110,1800,100,180,7940,3992.8,180,7940,3992.8,N/A（杂交）
jin_sui_rice,金髓稻,土·金,rare,金髓稻种子,0,20,80,110,1800,100,180,7940,3992.8,180,7940,3992.8,N/A（杂交）
xuan_bing_rice,玄冰稻,金·水,rare,玄冰稻种子,0,20,80,110,1800,100,180,7940,3992.8,180,7940,3992.8,N/A（杂交）
qi_xing_rice,七星稻,—,legendary,七星稻种子,0,200,60,90,5000,100,375,18200,8824.23,375,18200,8824.23,N/A（杂交）
